OBJECTID,Name,Text_ID,cable_id,length,ReadyForServiceDate,owners,url,Shape__Length
1,Coral Sea Cable System (CSCS),coral-sea-cable-system-cscs,1934,"4,000 km",Q4 2019,Vocus Communications, ,5327712.86846049
2,Interchange Cable Network 2 (ICN2),interchange-cable-network-2-icn2,1795,"1,632 km",Q4 2019,Interchange,http://www.interchange.vu,1711820.85687817
3,GlobeNet Argentina-Brazil Cable,globenet-argentina-brazil-cable,1964,"2,500 km",H1 2020,GlobeNet,http://www.globenet.net,2519578.90076348
4,England Cable,england-cable,1941,722 km,2020,NO-UK COM AS,https://no-uk.com,1209119.42336485
5,St. Pierre and Miquelon Cable,st-pierre-and-miquelon-cable,1967,200 km,May 2018,French Authority of St. Pierre and Miquelon, ,172693.796400484
6,sea2shore,sea2shore,1966,32 km,2016,National Grid, ,40606.0273796278
7,Glo-2,glo-2,1965,850 km,2019,Globacom Limited,http://www.gloworld.com,892934.449700623
8,NordBaltEurope,nordbalteurope,1963,400 km,2016,"Lietuvos Energija,  Svenska Kraftnät", ,706662.273867187
9,NYNJ-1,nynj-1,1961,n.a.,Q4 2018,Cleareon Fiber Networks,http://www.cleareon.com,119507.662234963
10,Southeast Asia - Japan 2 (SJC2),southeast-asia---japan-2-sjc2,1958,"10,500 km",Q4 2020,"China Mobile,  Chunghwa Telecom,  Facebook,  KDDI,  Chuan Wei,  SingTel,  SK Broadband,  VNPT-Vinaphone,  True Corporation", ,11130252.5673496
11,TERRA-Aleutian,terra-aleutian,1942,"1,078 km",Q3 2020,GCI,http://www.alaskaunited.com,1802936.30596037
12,Sakhalin-Kuril Islands Cable,sakhalin-kuril-islands-cable,1943,940 km,Q2 2019,Rostelecom, ,1094152.2886989
13,Meltingpot Indianoceanic Submarine System (METISS),meltingpot-indianoceanic-submarine-system-metiss,1892,"3,500 km",2019,"Telma (Telecom Malagasy),  CEB Fibernet,  Emtel,  Canal+ Telecom,  SFR,  Zeop (incl. Reunicable)", ,3543404.02856648
14,Java Bali Cable System (JBCS),java-bali-cable-system-jbcs,1955,40 km,2013,Triasmitra, ,29682.7765169792
15,Jakarta Surabaya Cable System (JAYABAYA),jakarta-surabaya-cable-system-jayabaya,1956,888 km,Q4 2018,Triasmitra,http://www.triasmitra.com/,845442.825682121
16,Southern Cross NEXT,southern-cross-next,1894,"13,700 km",Q4 2019,"Spark New Zealand,  SingTel Optus,  Verizon", ,16325998.4826892
17,Havfrue/AEC-2,havfrueaec-2,1931,"7,200 km",Q4 2019,"Aqua Comms,  Facebook,  Bulk Infrastructure,  Google", ,11600246.4543946
18,Dumai Medan Cable System (DMCS),dumai-medan-cable-system-dmcs,1957,575 km,Q1 2019,Triasmitra,http://www.triasmitra.com/,542886.307875718
19,Japan-Guam-Australia South (JGA-S),japan-guam-australia-south-jga-s,1959,n.a.,Q4 2019,"RTI Connectivity,  Google,  Australia’s Academic and Research Network (AARNET)", ,6742633.73631216
20,Japan-Guam-Australia North (JGA-N),japan-guam-australia-north-jga-n,1919,n.a.,Q4 2019,RTI Connectivity,http://www.rticable.com,2791061.21960435
21,Tonga Domestic Cable Extension (TCDE),tonga-domestic-cable-extension-tcde,1951,410 km,January 2018,Tonga Cable Limited, ,402575.700153128
22,Paniolo Cable Network,paniolo-cable-network,1948,576 km,2009,n.a., ,432965.268390516
23,Bodo-Rost Cable,bodo-rost-cable,1950,109 km,2016,Telenor, ,277326.447255541
24,Malta-Gozo Cable,malta-gozo-cable,1947,13 km,2019,Government of Malta,https://www.maltaenterprise.com,13888.7689780403
25,Mauritius and Rodrigues Submarine Cable System (MARS),mauritius-and-rodrigues-submarine-cable-system-mars,1935,677 km,2019,Mauritius Telecom, ,703797.459525795
26,Palapa Ring East,palapa-ring-east,1938,"6,300 km",2019,"Indonesian Government,  Moratelindo,  Telekom PT SmartFren", ,4125833.58020861
27,Palapa Ring West,palapa-ring-west,1939,"1,980 km",February 2018,Indonesian Government, ,1128862.82684915
28,Palapa Ring Middle,palapa-ring-middle,1940,"2,100 km",2018,Indonesian Government, ,1657934.37736118
29,Ulysses 2,ulysses-2,1936,n.a.,1997,Verizon, ,325257.838111126
30,NATITUA,natitua,1916,"2,400 km",Q4 2018,OPT French Polynesia, ,2845541.72077631
31,Hong Kong-Americas (HKA),hong-kong-americas-hka,1933,"13,000 km",2020,"Facebook,  Telstra,  Tata Communications,  China Telecom,  China Unicom", ,15256951.4179616
32,Curie,curie,1932,"10,000 km",2019,Google, ,10238731.1731502
33,Venezuela Festoon,venezuela-festoon,1094,"1,200 km",1998,CANTV, ,1248700.02379202
34,Silk Route Gateway (SRG-1),silk-route-gateway-srg-1,1849,"1,030 km",June 2020,"Multinet Pakistan,  Omantel",http://www.silkroutegateway-1.com,1063734.93539045
35,Fibra Optica Austral,fibra-optica-austral,1922,"2,800 km",Q4 2019,Subtel,http://foa.subtel.cl/,3299310.30368555
36,SABR,sabr,1929,n.a.,2019,Seaborn Group,http://www.seabornnetworks.com,6795918.75771443
37,Djibouti Africa Regional Express (DARE),djibouti-africa-regional-express-dare,1863,"5,400 km",2019,"Djibouti Telecom,  Africa Marine Express,  Telesom,  Hormuud Telecom Somalia,  Golis Telecommunications,  Somtel International", ,4628312.21577835
38,PEACE Cable,peace-cable,1923,"8,800 km",Q4 2019,Tropic Science Co., ,6613020.05521773
39,JUPITER,jupiter,1928,"14,000 km",2020,"Amazon,  Facebook,  NTT,  PLDT,  PCCW,  Softbank Telecom", ,15756076.9059902
40,WALL-LI,wall-li,1926,98 km,June 2019,Crosslake Fibre,http://www.crosslakefibre.ca,139412.835482179
41,AURORA,aurora,1924,n.a.,Q1 2020,FP Telecommunications,http://fptelecoms.com/,10272693.3862997
42,Crosslake Fibre,crosslake-fibre,1925,58 km,October 2018,Crosslake Fibre,http://www.crosslakefibre.ca,137913.389388977
43,Eastern Light,eastern-light,1710,n.a.,2018,Eastern Light,https://www.easternlight.se,1099997.55880918
44,GTMO-PR,gtmo-pr,1918,"1,200 km",2018,U.S. Government, ,1116561.15833601
45,GTMO-1,gtmo-1,1917,"1,528 km",2016,U.S. Government, ,1345209.18744177
46,North Sea Connect,north-sea-connect,1912,700 km,November 2019,Aqua Comms,http://www.aquacomms.com,1127218.9949816
47,CeltixConnect-2,celtixconnect-2,1911,n.a.,November 2019,Aqua Comms,http://www.aquacomms.com,369033.614474945
48,COBRAcable,cobracable,1904,326 km,2019,Relined,https://relined.eu/en/cobra-fiber-optic-cable/,511033.213401375
49,Kanawa,kanawa,1914,"1,745 km",September 2018,Orange, ,1483467.50215487
50,FLY-LION3,fly-lion3,1915,400 km,2018,"Orange,  Comoros Cables,  Société Réunionnaise du Radiotéléphone", ,288512.569702703
51,Deep Blue Cable,deep-blue-cable,1913,"12,000 km",Q4 2020,Deep Blue Cable,http://www.deepbluecable.com,3097621.62524548
52,Deep Blue Cable,deep-blue-cable,1913,"12,000 km",Q4 2020,Deep Blue Cable,http://www.deepbluecable.com,7018127.31839955
53,Nelson-Levin,nelson-levin,1486,212 km,June 2001,Spark New Zealand,http://www.spark.co.nz,283764.158672207
54,PNG LNG,png-lng,1898,20 km,2014,Telikom Papua New Guinea, ,404521.990504949
55,PNG National Submarine Fibre Cable Network,png-national-submarine-fibre-cable-network,1899,"5,457 km",2018,PNG DataCo Limited, ,3489319.01843741
56,PNG National Submarine Fibre Cable Network,png-national-submarine-fibre-cable-network,1899,"5,457 km",2018,PNG DataCo Limited, ,2254610.14423487
57,Strategic Evolution Underwater Link (SEUL),strategic-evolution-underwater-link-seul,1893,24 km,July 2017,Belize Telemedia,http://www.belizetelemedia.net/,35230.9453329987
58,Labuan-Brunei Submarine Cable,labuan-brunei-submarine-cable,1891,52 km,April 2017,Common Tower Technologies Sdn Bhd,http://www.cttsb.com.my,48405.6983820025
59,MAREA,marea,1890,"6,605 km",February 2018,"Facebook,  Microsoft,  Telxius", ,8593207.4065446
60,Brazilian Festoon,brazilian-festoon,1888,"2,543 km",1996,Embratel,http://www.embratel.com.br,2589664.2326919
61,Nationwide Submarine Cable Ooredoo Maldives (NaSCOM),nationwide-submarine-cable-ooredoo-maldives-nascom,1868,"1,136 km",January 2017,Ooredoo Maldives,http://ooredoo.mv,830216.003229365
62,"Saba, Statia Cable System (SSCS)",saba-statia-cable-system-sscs,1807,n.a.,2013,n.a.,http://www.sscsbv.com,155271.059833832
63,East-West Submarine Cable System,east-west-submarine-cable-system,1886,950 km,2004,Sacofa,https://www.sacofa.com.my,892866.275966708
64,SMPCS Packet-1,smpcs-packet-1,1884,"3,156 km",2015,Telkom Indonesia, ,3098575.51736334
65,SMPCS Packet-2,smpcs-packet-2,1885,"3,498 km",2015,Telkom Indonesia, ,3668089.46066997
66,Luwuk Tutuyan Cable System (LTCS),luwuk-tutuyan-cable-system-ltcs,1883,446 km,2015,Telkom Indonesia, ,344025.192192619
67,Tarakan Selor Cable System (TSCS),tarakan-selor-cable-system-tscs,1882,83 km,2014,Telkom Indonesia, ,107339.658809242
68,Sumatera Bangka Cable System (SBCS),sumatera-bangka-cable-system-sbcs,1881,57 km,2014,Telkom Indonesia, ,134992.781331996
69,S-U-B Cable System,s-u-b-cable-system,1880,"2,009 km",2008,Telkom Indonesia, ,2082259.43530338
70,INDIGO-West,indigo-west,1744,"4,600 km",Q1 2019,"Superloop,  Telstra,  SingTel,  Google,  Indosat Ooredoo,  Australia’s Academic and Research Network (AARNET)",http://www.subpartners.net/indigo,4658125.54883515
71,Junior,junior,1876,390 km,2018,Google, ,403688.99007619
72,Skagerrak 4,skagerrak-4,1875,137 km,December 2014,Statnett, ,404292.392828186
73,Atisa,atisa,1874,279 km,June 2017,Docomo Pacific,http://atisa.docomopacific.com,363145.375674371
74,Tui-Samoa,tui-samoa,1855,"1,693 km",February 2018,Samoa Submarine Cable Company,http://ssccsamoa.com/,1713708.68781865
75,BUGIO,bugio,1443,73 km,July 1996,Portugal Telecom, ,77167.3596807876
76,Quintillion Subsea Cable Network,quintillion-subsea-cable-network,1862,"1,900 km",December 2017,Quintillion,http://www.Qexpressnet.com,5589026.47434424
77,ARSAT Submarine Fiber Optic Cable,arsat-submarine-fiber-optic-cable,1871,40 km,Q2 2012,ARSAT,http://www.arsat.com.ar/,53342.9862722282
78,XL Bali Lombok Submarine Cable System,xl-bali-lombok-submarine-cable-system,1867,50 km,January 2016,XL Axiata, ,35274.5193245685
79,Pencan-9,pencan-9,1866,"1,398 km",n.a.,Telefonica, ,1539760.37254907
80,Taba-Aqaba,taba-aqaba,1806,n.a.,n.a.,n.a., ,13466.7917377164
81,Tannat,tannat,1860,"2,000 km",2018,"Google,  Antel Uruguay", ,2064752.66941353
82,South Atlantic Inter Link (SAIL),south-atlantic-inter-link-sail,1856,"5,900 km",September 2018,"Camtel,  China Unicom", ,5480581.02573995
83,BRUSA,brusa,1873,"11,000 km",Q2 2018,Telxius,http://www.telxius.com,11616313.9186343
84,EllaLink,ellalink,1725,"10,119 km",2020,"Telebras,  IslaLink",http://www.eulalink.com/,10860583.1140267
85,Gulf2Africa (G2A),gulf2africa-g2a,1850,"1,500 km",December 2017,"Omantel,  Golis Telecommunications,  Telesom,  Ethio Telecom", ,1646553.01362027
86,Nigeria Cameroon Submarine Cable System (NCSCS),nigeria-cameroon-submarine-cable-system-ncscs,1821,"1,100 km",December 2015,Camtel, ,980762.550683
87,San Andres Isla Tolu Submarine Cable (SAIT),san-andres-isla-tolu-submarine-cable-sait,1843,826 km,December 2010,Energía Integral Andina, ,776073.71719926
88,Lynn Canal Fiber,lynn-canal-fiber,1840,138 km,October 2016,Alaska Power & Telephone Company (AP&T),http://www.aptalaska.com,230519.270548448
89,HIFN (Hawaii Island Fibre Network),hifn-hawaii-island-fibre-network,1456,529 km,June 1997,"Hawaiian Telcom,  CenturyLink", ,575366.216351728
90,HICS (Hawaii Inter-Island Cable System),hics-hawaii-inter-island-cable-system,1455,479.081 km,July 1994,Hawaiian Telcom, ,453003.261290677
91,Unisur,unisur,1132,265 km,March 1995,"Antel Uruguay,  Telxius", ,295152.014080414
92,TRANSCAN-3,transcan-3,1449,210 km,2000,Telefonica, ,294695.912178344
93,Northern Lights,northern-lights,1836,67 km,2008,BT, ,111559.565307716
94,Swansea-Brean,swansea-brean,1835,97 km,1993,Vodafone, ,139499.768901136
95,Jambi-Batam Cable System (JIBA),jambi-batam-cable-system-jiba,1832,420 km,2014,Moratelindo,http://www.moratelindo.co.id,328368.413871397
96,Segunda FOS Canal de Chacao,segunda-fos-canal-de-chacao,1830,40 km,January 2015,Gtd Teleductos S.A.,http://www.telsur.cl/empresas/,47786.7127580641
97,Sistem Kabel Rakyat 1Malaysia (SKR1M),sistem-kabel-rakyat-1malaysia-skr1m,1828,"3,800 km",September 2017,"Telekom Malaysia,  TIME dotCom",http://www.tm.com.my,3306125.78072327
98,Aqualink,aqualink,1487,n.a.,December 2001,Telstra, ,1868564.46798559
99,BT Highlands and Islands Submarine Cable System,bt-highlands-and-islands-submarine-cable-system,1827,402 km,December 2014,BT, ,184611.9413741
100,BT Highlands and Islands Submarine Cable System,bt-highlands-and-islands-submarine-cable-system,1827,402 km,December 2014,BT, ,457346.604759644
101,C-Lion1,c-lion1,1816,"1,172 km",March 2016,Cinia Group Oy,https://www.cinia.fi/en/,2098928.19929685
102,Far East Submarine Cable System,far-east-submarine-cable-system,1825,"1,855 km",Q2 2016,Rostelecom, ,3050201.8243187
103,Isles of Scilly Cable,isles-of-scilly-cable,1826,939 km,2014,BT, ,75828.3287729761
104,New Cross Pacific (NCP) Cable System,new-cross-pacific-ncp-cable-system,1786,"13,618 km",May 2018,"China Telecom,  China Unicom,  Chunghwa Telecom,  KT,  China Mobile,  Microsoft,  Softbank Telecom", ,16549016.0934807
105,Monet,monet,1787,"10,556 km",December 2017,"Angola Cables,  Google,  Algar Telecom,  Antel Uruguay", ,11479765.063293
106,SEA-US,sea-us,1823,"14,500 km",August 2017,"RTI,  Inc.,  Globe Telecom,  Hawaiian Telcom,  GTA TeleGuam,  Telin", ,14725840.7669752
107,FASTER,faster,1794,"11,629 km",June 2016,"Google,  KDDI,  SingTel,  China Telecom,  China Mobile,  Global Transit", ,14073095.199487
108,Kerch Strait Cable,kerch-strait-cable,1822,46 km,April 2014,Rostelecom, ,34332.2650221403
109,North West Cable System,north-west-cable-system,1817,"2,100 km",September 2016,Vocus Communications, ,1731620.40639442
110,TERRA SW,terra-sw,1693,n.a.,2012,GCI,http://www.alaskaunited.com,952939.888445939
111,Alaska United Turnagain Arm (AUTA),alaska-united-turnagain-arm-auta,1813,53 km,2012,GCI,http://www.alaskaunited.com,98049.9485265024
112,ACS Alaska-Oregon Network (AKORN),acs-alaska-oregon-network-akorn,1571,"3,000 km",April 2009,Alaska Communications Systems Group,https://www.alaskacommunications.com,5033156.04973753
113,Adria-1,adria-1,1317,440 km,September 1996,"T-Hrvatski Telekom,  Albania Telecom", ,585772.476737359
114,Africa Coast to Europe (ACE),africa-coast-to-europe-ace,1629,"17,000 km",December 2012,"Orange,  Dolphin Telecom,  Cote d’Ivoire Telecom,  Gambia Submarine Cable Company,  MTN Group,  Orange Cameroun,  Sonatel,  Cable Consortium of Liberia,  STP Cabo,  International Mauritania Telecom,  Canalink,  Orange Mali,  Orange Niger,  Republic of",http://www.ace-submarinecable.com,2941129.9456856
115,Africa Coast to Europe (ACE),africa-coast-to-europe-ace,1629,"17,000 km",December 2012,"Orange,  Dolphin Telecom,  Cote d’Ivoire Telecom,  Gambia Submarine Cable Company,  MTN Group,  Orange Cameroun,  Sonatel,  Cable Consortium of Liberia,  STP Cabo,  International Mauritania Telecom,  Canalink,  Orange Mali,  Orange Niger,  Republic of",http://www.ace-submarinecable.com,9688898.16565932
116,Africa Coast to Europe (ACE),africa-coast-to-europe-ace,1629,"17,000 km",December 2012,"Orange,  Dolphin Telecom,  Cote d’Ivoire Telecom,  Gambia Submarine Cable Company,  MTN Group,  Orange Cameroun,  Sonatel,  Cable Consortium of Liberia,  STP Cabo,  International Mauritania Telecom,  Canalink,  Orange Mali,  Orange Niger,  Republic of",http://www.ace-submarinecable.com,5544056.58557347
117,Alaska United East,alaska-united-east,1168,"3,751 km",February 1999,GCI,http://www.alaskaunited.com,5103685.67966169
118,Alaska United West,alaska-united-west,1348,"2,485 km",June 2004,GCI,http://www.alaskaunited.com,3969831.60219883
119,ALBA-1,alba-1,1529,"1,860 km",August 2012,"Transbit,  Telecom Venezuela", ,1755778.27829552
120,Aletar,aletar,1319,787 km,April 1997,"Syrian Telecommunications Establishment,  Telecom Egypt,  Liban Telecom", ,839994.62795745
121,Alonso de Ojeda,alonso-de-ojeda,1289,128 km,1999,n.a., ,124127.480979435
122,ALPAL-2,alpal-2,1234,312 km,July 2002,"Telecom Italia Sparkle,  Orange,  Algerie Telecom,  Telxius", ,369784.618637953
123,American Samoa-Hawaii (ASH),american-samoa-hawaii-ash,1600,"4,250 km",May 2009,"American Samoa Government,  Elandia", ,4301054.47845547
124,Americas-I North,americas-i-north,1645,"2,012 km",September 1994,n.a., ,2474933.82494213
125,Amerigo Vespucci,amerigo-vespucci,1494,85 km,1999,Antelecom, ,68921.0623553438
126,Antillas 1,antillas-1,1227,650 km,June 1997,"AT&T,  Verizon,  Sprint,  Tata Communications,  Orange,  C&W Networks,  Telecom Italia Sparkle,  Embratel", ,587652.652601936
127,SEA Cable Exchange-1 (SEAX-1),sea-cable-exchange-1-seax-1,1887,250 km,May 2018,Super Sea Cable Networks,http://www.seacablex.com,213146.973982538
128,Aphrodite 2,aphrodite-2,1303,868 km,September 1994,n.a., ,975346.527373893
129,Apollo,apollo,1213,"13,000 km",February 2003,Vodafone,http://www.vodafone.com/business/article-cs-apollo-submarine-cable-system,16048310.6219025
130,ARCOS,arcos,1078,"8,600 km",December 2001,"C&W Networks,  CANTV,  Codetel,  Hondutel,  Belize Telemedia,  Enitel,  AT&T,  Alestra,  Verizon,  RACSA,  United Telecommunication Services (UTS),  Telecarrier,  Tricom USA,  Telecomunicaciones Ultramarinas de Puerto Rico,  Internexa,  Orbinet Overseas,",http://www.cwnetworks.com/,8196220.11322937
131,Asia-America Gateway (AAG) Cable System,asia-america-gateway-aag-cable-system,1507,"20,000 km",November 2009,"Telekom Malaysia,  AT&T,  Starhub,  PLDT,  CAT Telecom Public Company Limited,  Airtel (Bharti),  Telstra,  Telkom Indonesia,  BT,  Eastern Telecom,  PT Indonesia Satellite Corp.,  Spark New Zealand,  Viettel Corporation,  Saigon Postel Corporation,  Vie",http://www.asia-america-gateway.com,20557672.875731
132,Atlantic Crossing-1 (AC-1),atlantic-crossing-1-ac-1,1143,"14,301 km",May 1998,CenturyLink,http://www.centurylink.com/wholesale/,20139174.4293086
133,Atlas Offshore,atlas-offshore,1512,"1,634 km",July 2007,Maroc Telecom,https://www.iam.ma,1937006.29129334
134,Australia-Japan Cable (AJC),australia-japan-cable-ajc,1102,"12,700 km",December 2001,"Softbank Telecom,  Telstra,  Verizon,  AT&T",http://www.ajcable.com,12078277.9634607
135,Australia-Papua New Guinea-2 (APNG-2),australia-papua-new-guinea-2-apng-2,1527,"1,800 km",2006,"Telikom Papua New Guinea,  Telstra",http://www.telikompng.com.pg,3380801.94805878
136,Australia-Singapore Cable (ASC),australia-singapore-cable-asc,1683,"4,600 km",July 2018,Vocus Communications,https://www.australiasingaporecable.com,4511396.63077579
137,Azores Fiber Optic System (AFOS),azores-fiber-optic-system-afos,1801,"1,100 km",July 1998,Portugal Telecom, ,1149170.76346791
138,Bahamas 2,bahamas-2,1069,470 km,June 1997,"AT&T,  Telefonica,  Verizon", ,475165.563839457
139,Bahamas Domestic Submarine Network (BDSNi),bahamas-domestic-submarine-network-bdsni,1510,"2,817 km",2006,"Bahamas Telecommunications Company,  Teleco",http://www.btcbahamas.com,1715746.89507599
140,Bahamas Domestic Submarine Network (BDSNi),bahamas-domestic-submarine-network-bdsni,1510,"2,817 km",2006,"Bahamas Telecommunications Company,  Teleco",http://www.btcbahamas.com,1332257.32685674
141,Bahamas Internet Cable System (BICS),bahamas-internet-cable-system-bics,1232,"1,100 km",July 2001,Caribbean Crossings,http://www.caribbeancrossings.com,1050506.92110514
142,Balalink,balalink,1696,274 km,October 2001,IslaLink,http://www.islalink.es,342786.658722795
143,Baltica,baltica,1199,437 km,March 1997,"Telia Carrier,  Orange Polska,  TDC,  Telenor,  Slovak Telekom,  Ukrtelecom", ,700352.324216903
144,BARSAV,barsav,1053,760 km,1996,"Telefonica,  Telecom Italia Sparkle", ,896343.308350442
145,Bass Strait-1,bass-strait-1,1472,241 km,1995,Telstra, ,314978.968349961
146,Bass Strait-2,bass-strait-2,1492,239 km,2003,Telstra, ,311852.61089912
147,Basslink,basslink,1742,298 km,November 2005,Basslink Telecoms, ,375894.819423013
148,Batam Singapore Cable System (BSCS),batam-singapore-cable-system-bscs,1785,73 km,2009,Telkom Indonesia,http://www.telin.sg,21529.8707801261
149,Sweden-Latvia,sweden-latvia,1364,391 km,January 2005,Latvia State Radio and Television Centre,http://www.lvrtc.lv,653428.845156681
150,BCS East-West Interlink,bcs-east-west-interlink,1222,218 km,November 1997,Telia Carrier, ,385335.900927219
151,BCS North - Phase 1,bcs-north---phase-1,1609,513 km,1998,Telia Carrier, ,1003538.02675585
152,BCS North - Phase 2,bcs-north---phase-2,1610,280.4 km,2000,Telia Carrier, ,517207.949120693
153,BERYTAR,berytar,1321,134 km,April 1997,"Syrian Telecommunications Establishment,  Lebanese Ministry of Telecommunications", ,225063.067864583
154,Bharat Lanka Cable System,bharat-lanka-cable-system,1356,325 km,June 2006,"Bharat Sanchar Nigam Ltd. (BSNL),  Sri Lanka Telecom", ,325875.274397939
155,Bicentenario,bicentenario,1633,250 km,December 2011,"Antel Uruguay,  Telecom Argentina", ,289096.689186222
156,Botnia,botnia,1271,93 km,1994,Telia Carrier, ,265338.451301664
157,BT-MT-1,bt-mt-1,1752,80 km,1990,"BT,  Manx Telecom", ,359281.248834789
